( 0 , 1 ) 49644
( 0 , 2 ) 49644
( 0 , 3 ) 49644
( 0 , 4 ) 49644
( 0 , 5 ) 49644
( 0 , 6 ) 49644
( 0 , 7 ) 49644
( 0 , 8 ) 49644
( 0 , 9 ) 49644
( 0 , 10 ) 49644
( 0 , 11 ) 49644
( 0 , 12 ) 49644
( 0 , 13 ) 49644
( 0 , 14 ) 49644
( 0 , 15 ) 49644
( 0 , 16 ) 49644
( 0 , 17 ) 49644
( 0 , 18 ) 49644
( 0 , 19 ) 49644
( 0 , 20 ) 49644
( 0 , 21 ) 49644
( 0 , 22 ) 49644
( 0 , 23 ) 49644
( 0 , 24 ) 49644
( 0 , 25 ) 49644
( 0 , 26 ) 49644
( 0 , 27 ) 49644
( 0 , 28 ) 49644
( 0 , 29 ) 49644
( 0 , 30 ) 49644
( 0 , 31 ) 49644
( 0 , 32 ) 49644
( 0 , 33 ) 49644
( 0 , 34 ) 49644
( 0 , 35 ) 49644
( 0 , 36 ) 49644
( 0 , 37 ) 49644
( 0 , 38 ) 49644
( 0 , 39 ) 49644
( 0 , 40 ) 49644
( 0 , 41 ) 49644
( 0 , 42 ) 49644
( 0 , 43 ) 49644
( 0 , 44 ) 49644
( 0 , 45 ) 49644
( 0 , 46 ) 49644
( 0 , 47 ) 49644
( 0 , 48 ) 49644
( 0 , 49 ) 49644
( 0 , 50 ) 49644
( 0 , 51 ) 49644
( 0 , 52 ) 49644
( 0 , 53 ) 49644
( 0 , 54 ) 49644
( 0 , 55 ) 49644
( 0 , 56 ) 49644
( 0 , 57 ) 49644
( 0 , 58 ) 49644
( 0 , 59 ) 49644
( 0 , 60 ) 49644
( 0 , 61 ) 49644
( 0 , 62 ) 49644
( 0 , 63 ) 49644
( 0 , 64 ) 49644
( 0 , 65 ) 49644
( 0 , 66 ) 49644
( 0 , 67 ) 49644
( 0 , 68 ) 49644
( 0 , 69 ) 49644
( 0 , 70 ) 49644
( 0 , 71 ) 49644
( 0 , 72 ) 49644
( 0 , 73 ) 49644
( 0 , 74 ) 49644
( 0 , 75 ) 49644
( 0 , 76 ) 49644
( 0 , 77 ) 49644
( 0 , 78 ) 49644
( 0 , 79 ) 49644
( 0 , 80 ) 49644
( 0 , 81 ) 49644
( 0 , 82 ) 49644
( 0 , 83 ) 49644
( 0 , 84 ) 49644
( 0 , 85 ) 49644
( 0 , 86 ) 49644
( 0 , 87 ) 49644
( 0 , 88 ) 49644
( 0 , 89 ) 49644
( 0 , 90 ) 49644
( 0 , 91 ) 49644
( 0 , 92 ) 49644
( 0 , 93 ) 49644
( 0 , 94 ) 49644
( 0 , 95 ) 49644
( 0 , 96 ) 49644
( 0 , 97 ) 49644
( 0 , 98 ) 49644
( 0 , 99 ) 49644
( 0 , 100 ) 49644
( 0 , 101 ) 49644
( 0 , 102 ) 49644
( 0 , 103 ) 49644
( 0 , 104 ) 49644
( 0 , 105 ) 49644
( 0 , 106 ) 49644
( 0 , 107 ) 49644
( 0 , 108 ) 49644
( 0 , 109 ) 49644
( 0 , 110 ) 49644
( 0 , 111 ) 49644
( 0 , 112 ) 49644
( 0 , 113 ) 49644
( 0 , 114 ) 49644
( 0 , 115 ) 49644
( 0 , 116 ) 49644
